"id","coordenadasUbicacion","descripcion","historia","nombre","periodoActualizacion","Fecha Ultima Actualizacion","Vinos"
"b1","30.679359","Bodega Argentina instalada en el Valle de Uco. Cultivan los vinos en las alturas de este valle para producir vinos con cuerpo profundo y complejo.","Corría el año 1861 cuando Francesc Sala Ferré se convirtió en el primer miembro de la familia Ferrer-Sala en dedicarse al negocio del vino, pero sus antepasados ya llevaban siglos elaborado vino en las fincas familiares de La Freixeneda y Can Sala, ambas en el corazón del Penedés catalán - España.","Acordeon",2,"10/03/2024",[v1;v2;v3]
"b2","39.9041999","Bodega instalada en Fuenmayor, en la que dos de sus pilares básicos son la unión de tradición y modernidad. Esta bodega lleva a cabo la elaboración de vinos para todo tipo de públicos, tanto para los amantes del vino clásico como para aquellos que se introducen en el mundo del vino.","Bodegas Altanza, está ubicada en Fuenmayor (Rioja Alta), nació en octubre de 1998 con un claro principio fundador: elaborar vinos de calidad, de un estilo más “vivaz” que el clásico Rioja de antaño, y comercializarlos a un precio justo. La arquitectura de la bodega se concibe siguiendo un equilibrio entre tradición y tecnología. La finca cuenta con una extensión de 220 Has. de viñedo y 60 de olivar.","Altanza",8,"5/11/2023",[v4;v5;v6]
"b3","58.478361","Bodega Baines elabora todos los productos de manera artesanal generación tras generación, cuidando cada detalle para que cada sorbo sea una experiencia única.","Desde Licores Baines ponemos todos los medios posibles para poder garantizar la mayor calidad en cada uno de nuestros productos en base a los valores sociales, económicos y medioambientales de la empresa.","Baines",5,"03/09/2023",[v7]
"b4","-7.3198199","Bodega del Grupo Peralada instalada en un edificio con mas de 300 años de historia que se encuentra rodeado de cepas perfectas para el desarrollo de los vinos de esta bodega.","El proyecto de Casa Gran del Siurana se inició en el año 2000 con el claro objetivo de crear unos vinos desde el mismo inicio del proceso: seleccionando las fincas con más potencial, eligiendo las plantas más adecuadas y cultivándolas con cuidado para después controlar meticulosamente el momento de la vendimia, el modo de elaboración y la crianza.","Casa Gran Del Siurana",6,"05/01/2024",[v8;v9]
"b5","8.3048218","La bodega es mundialmente admirada y reconocida por su papel pionero al haber hecho resurgir la variedad Malbec y haber descubierto terroirs de altura extrema al pie de los Andes . Entre otros numerosos premios, en 2023 fue galardonada como mejor bodega del mundo según el ranking World's Best Vineyards.","Fundada en 1902, Bodega Catena Zapata es reconocida por su rol pionero en haber hecho resurgir la variedad Malbec y haber descubierto los terroirs de altura extrema al pie de los Andes.","Catena Zapata",6,"17/04/2024",[v10;v11]
"b6","18.32482158","Bodega Aragonesa que elabora unos vinos de alta calidad llevando a cabo unos procesos de elaboración con el máximo cuidado del medioambiente.","Edra Bodega y Viñedos se gesta en el año 1999 en Ayerbe, Hoya de Huesca. En este enclave del prepirineo aragonés construyen una bodega moderna y adaptada a el entorno, cubriéndola con un manto de hiedra. Hoy disponen de 30 ha de viñedo propio en las que cultivan las variedades Merlot, Cabernet Sauvignon, Syrah, Tempranillo, Garnacha y Viognier.","Edra",7,"22/05/2024",[v12]
"b7","40.25826254","Bodegas Faustino, situada en Oyón, Rioja Alavesa, goza de un prestigio internacional logrado a lo largo de más de 150 años de experiencia en la elaboración y crianza de vinos de alta gama.","En 1861 Eleuterio Martinez Arzok se instala en Oyon y compra alli la casa palacio y los viñedos. Es el principio de todo un linaje.","Faustino",4,"06/02/2024",[v13;v14;v15]
"b8","32.1297563","En plena Milla de Oro de la ribera del Duero, Finca Villacreces, se esconde, desde hace siglos, en un entorno único, entre sus viñedos, el Duero y un bosque de pinos centenarios.","La bodega y el vino toman el nombre de Don Pedro de Villacreces, fraile y teólogo franciscano, primer habitante de Finca Villacreces en el S. XIII. En el año 2003, Grupo Artevino adquiere Finca Villacreces, una finca de 110 hectáreas en plena Milla de Oro de la Ribera del Duero bañada por el río Duero, asentada sobre un monasterio del císter posterior al s. XV. Finca Villacreces posee 64 hectáreas de viñedo propio, cuya mayor parte fue plantado en los años 70, dividida en 15 fincas de las variedades Tinto Tino, Cabernet Sauvignon y Merlot.","Finca Villacreces",8,"12/10/2023",[v16;17]
"b9","-5.1279645","Malbec es un tinto de color rojo violáceo brillante. Sus aromas son intensos y amables, con notas que recuerdan a frutas rojas, y tonos algo florales y especiados. En boca es generoso, fluido y expresivo, con taninos incipientes. De paladar franco y paso refrescante, con buen cuerpo y carácter."," Es una bodega familiar fundada por la familia Arizu en 1901 , y ha producido desde entonces vinos de alta agama por generaciones. El compromiso con la alta calidad y sustentabilidad es evidente en sus viñedos, los cuales están ubicados en las zonas más privilegiadas de Mendoza","Luigi Bosca",3,"15/02/2024",[v18;v19]
"b10","15.1513845","Vinos míticos como la Manzanilla Solear o el Amontillado Príncipe forman parte ya de la  vinícola de España.  Además de los vinos clásicos Jerezanos, desde Manzanillas a Palos Cortados, Barbadillo también elabora vinos tranquilos, tanto blancos como tintos y más recientemente espumosos de calidad como son el Beta Sur o el limitadisimo Toto","La bodega Barbadillo tiene su origen en el año 1821, año en el que empezó a elaborar Manzanilla. La esencia de la bodega es una conjunción de varios factores en el entorno de Sanlúcar. Un clima cálido y soleado, el viento de poniente, la característica uva Palomino y la increíble composición del suelo que tan grácilmente influye en la particularidad de estos vinos de Jerez, la Albariza","Barbadillo",3,"25/04/2024",[v20]
