"id","añada","fecha Actualizacion", "Nombre","Imagen Etiqueta","Nota de Cata","Precio ARS","Maridajes","Varietales","Bodega"
"v1",2018, "2024-01-15", "Trumpeter", "https://i.colnect.net/f/3919/903/Trumpeter---Sauvignon-Blanc.jpg", "Notas de ciruela y roble", 1500, [m1;m2;m3],[v1;v2;v3],"b1"
"v2",2019, "2024-02-10", "Dada", "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQelj-P5HqS_pTzC8YnXnpWkmpjBhBrSnErPORRgquoP03L_IrIxzSX1-mtCRVDWn1yyTc&usqp=CAU", "Notas de cassis y pimienta negra", 2000, [], [v3;v6], "b1"
"v3",2020, "2024-03-12", "Protos", "https://www.bodegasprotos.com/wp-content/uploads/2020/04/Protos-Gran-Reserva-GEN%C3%89RICA.jpg", "Notas de cereza y chocolate", 1800, [m8;m2], [v9;v2;v4],"b1"
"v4",2017, "2024-01-20", "Wenete", "https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhraOeDvzt__vdJSKaeQfP4hFbr1rBuTBxj5aNmelCO9mF6HZvnweazd58ivUzaEWOFM7XX867PbfewEmtTmcDepPU_fes1Z3v8jRaawxq5a0g-59FCQTcZwn30_7RGr9MSM9XNmyXVOTZq/s1600/Portada+Como+leer+una+etiqueta+de+vino+Entre+Copas+y+Corchos+01.jpg", "Notas de frambuesa y especias", 2200, [m6;m9;m10;m1], [v1;v6], "b2",
"v5",2021, "2024-04-18", "Desquiciado", "https://eltriunfodebaco.com.ar/wp-content/uploads/2021/08/etiqueta-M.-Gutelli.png", "Notas de manzana y miel", 1600, [m5;m7], [v3;v9;v5], "b2",
"v6",2016, "2024-02-25", "Cordero con piel de lobo ", "https://images.vivino.com/thumbs/yFVa6xmeRRqhiBR7FjsrPw_pl_480x640.png", "Notas de mora y regaliz", 1900, [m3;m10;m8], [v4;v7;v10], "b2",
"v7",2018, "2024-03-30", "LAN D-12", "https://www.casagourmet.es/blog/wp-content/uploads/2023/01/03072017-LAN-D-12-botella-sin-anada_-1024x641.jpg", "Notas de flores blancas y cítricos", 1400, [m2;m6], [v4;v8;v9], "b3",
"v8",2019, "2024-01-10", "San Cobate", " https://www.abzimpresores.es/wp-content/uploads/2023/02/confinamiento-conceptual-98.webp", "Notas de frutos rojos y tabaco", 1700, [],[v2;v5], "b4",
"v9",2020, "2024-02-14", "Etymo", " https://brandemia.org/contenido/subidas/2021/12/01-etymo-etiquetavino.jpg", "Notas de frutos negros y vainilla", 1500, [m3;m7;m8;m10], [v1;v9], "b4",
"v10",2021, "2024-03-22", "Krauel", " https://almargen.com/wp-content/uploads/2021/05/detalle_blanco_Krauel.jpg", "Notas de lima y hierbas", 1600, [m3;m5], [v4], "b5"
"v11",2015,"2024-05-10","Rutini","https://clickandfoods.com/cdn/shop/files/AL7A6dlCTTSyYa-wR_Jxmw_pl_375x500_a0f35c07-1444-4a43-a1e4-37ddcdde9f9d.png?v=1712513920","Notas de cafe",2000,[m2;m6],[v7;v10],"b5"
"v12",2021,"2024-06-05","Vega Real",https://www.empacke.com/wp-content/uploads/2018/05/vegareal-empacke-1.jpg,"Notas de piña y caramelo",1900,[m3;m8],[v2;v8],"b6"
"v13",2017,"2024-02-03","Durigutti",https://http2.mlstatic.com/D_NQ_NP_786367-MLA51681595255_092022-O.webp,"Notas de cereza",1900,[m3;m6],[v1;v9],"b7"
"v14",2021,"2024-06-05","Matina",https://www.ofifacil.com/portfolio/diseno-etiquetas-aceite-vino-envases-packaging-design-wine-oil-labels/matina/diseno-etiqueta-vino-matina-wine-label-design-2.jpg,"Notas de piña",1900,[m7;m8],[v1;v6],"b7"
"v15",2016,"2024-01-11","Puerta Grande",https://sacesaseleccion.com/1296-thickbox_default/vino-rosado-etiqueta-botella-3-4-l-125-vol.jpg,"Notas de Lima",1900,[m5;m6],[v8;v4],"b7"
"v16",2021,"2024-06-05","Sol Naciente","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6MhQZqo3-LlJc7OmTtCUhtcF-xv9xK4vfRCvpN-oUHQ&s", "Notas de piña y caramelo",1900,[m3;m8],"[v2;v8]","b8"
"v17",2022,"2024-06-20","Brisas del Sur","https://f.fcdn.app/imgs/c4ae25/lasacristia.com.uy/scr/22df/original/catalogo/120135412013541/450_600/brisas-blend-selection-brisas-blend-selection.jpg", "Notas de cítricos, pomelo y hierbas frescas",1700,[m2;m5;m9],[v4],"b8"
"v18",2019,"2024-06-05","Viñedos Escondidos","https://almadelosandes.com.ar/wp-content/uploads/2021/03/ESCONDIDO-1.jpg", "Notas de ciruela, cereza y chocolate",2800,[m3;m8],[v2],"b9"
"v19",2021,"2024-06-10","El Amanecer","https://acdn.mitiendanube.com/stores/087/677/products/amanecer_andino_blend1-5680bf48e1777e172516675914347280-640-0.png", "Notas de manzana verde, pera y flores blancas",1600,[m1;m5;m9],[v7;v9],"b9"
"v20",2023,"2024-06-20","La Joya del Desierto","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG3rPQ87cDFinwAQSV6DhTwULN3GNdkIwiop12VKgV-A&s", "Notas de dátiles, higos y miel",2001,[],[v1;v5],"b10"

